seq_id,description,length,pred_class,bit_score,evalue,query_len,target_len
tr|A0A1A8VDB8|A0A1A8VDB8_NOTFU,tr|A0A1A8VDB8|A0A1A8VDB8_NOTFU Carbonic anhydrase 6 OS=Nothobranchius furzeri OX=105023 GN=CA6 PE=3 SV=1,537,8ca.beta.45,111.3,3.4e-35,537.0,381.0
tr|A0A1A8VDZ3|A0A1A8VDZ3_NOTFU,tr|A0A1A8VDZ3|A0A1A8VDZ3_NOTFU Carbonic anhydrase OS=Nothobranchius furzeri OX=105023 GN=CA4A PE=3 SV=1,304,8ca.beta.45,120.7,4.7000000000000005e-38,304.0,381.0
tr|A0A1B1LZI1|A0A1B1LZI1_DANRE,tr|A0A1B1LZI1|A0A1B1LZI1_DANRE protein-tyrosine-phosphatase OS=Danio rerio OX=7955 GN=ptprga PE=2 SV=1,1414,8ca.beta.45,92.7,1.4999999999999998e-29,1414.0,381.0
tr|A0A1B1ZH54|A0A1B1ZH54_9PSEU,tr|A0A1B1ZH54|A0A1B1ZH54_9PSEU carbonic anhydrase OS=Pseudonocardia sp. HH130630-07 OX=1690815 GN=AFB00_00620 PE=3 SV=1,771,8ca.alpha.45,4.2,0.01,771.0,349.0
tr|A0A1B2JIJ8|A0A1B2JIJ8_PICPA,tr|A0A1B2JIJ8|A0A1B2JIJ8_PICPA Carbonic anhydrase OS=Komagataella pastoris OX=4922 GN=NCE103 PE=3 SV=1,339,8ca.alpha.45,15.6,3.4e-06,339.0,349.0
tr|A0A1B7YQX6|A0A1B7YQX6_COLHI,tr|A0A1B7YQX6|A0A1B7YQX6_COLHI Carbonic anhydrase OS=Colletotrichum higginsianum (strain IMI 349063) OX=759273 GN=CH63R_03167 PE=3 SV=1,263,8ca.alpha.45,18.4,4.9e-07,263.0,349.0
tr|A0A1C3ZHQ4|A0A1C3ZHQ4_RHOSG,tr|A0A1C3ZHQ4|A0A1C3ZHQ4_RHOSG carbonic anhydrase OS=Rhodococcus qingshengii OX=334542 GN=CHR55_29335 PE=3 SV=1,758,8ca.alpha.45,17.2,1.1e-06,758.0,349.0
tr|A0A1D5QB60|A0A1D5QB60_MACMU,tr|A0A1D5QB60|A0A1D5QB60_MACMU Carbonic anhydrase OS=Macaca mulatta OX=9544 GN=CA13 PE=3 SV=1,262,8ca.beta.45,127.1,5.3e-40,262.0,381.0
tr|A0A1F5LFY8|A0A1F5LFY8_9EURO,tr|A0A1F5LFY8|A0A1F5LFY8_9EURO Carbonic anhydrase OS=Penicillium arizonense OX=1835702 GN=PENARI_c011G03694 PE=3 SV=1,294,8ca.alpha.45,18.4,4.9e-07,294.0,349.0
tr|A0A1F8ZM37|A0A1F8ZM37_9DELT,tr|A0A1F8ZM37|A0A1F8ZM37_9DELT Carbonic anhydrase OS=Deltaproteobacteria bacterium GWF2_42_12 OX=1797824 GN=A2022_02750 PE=3 SV=1,253,8ca.alpha.45,24.3,8e-09,253.0,349.0
tr|A0A1H0D1M2|A0A1H0D1M2_ALLAB,tr|A0A1H0D1M2|A0A1H0D1M2_ALLAB carbonic anhydrase OS=Allokutzneria albata OX=211114 GN=SAMN04489726_7539 PE=3 SV=1,776,8ca.alpha.45,13.4,1.6e-05,776.0,349.0
tr|A0A1H3JPX2|A0A1H3JPX2_9ACTN,tr|A0A1H3JPX2|A0A1H3JPX2_9ACTN Anthranilate phosphoribosyltransferase OS=Modestobacter sp. DSM 44400 OX=1550230 GN=trpD PE=3 SV=1,352,NO_HIT,,,,
tr|A0A1H8WXC3|A0A1H8WXC3_9PSEU,tr|A0A1H8WXC3|A0A1H8WXC3_9PSEU carbonic anhydrase OS=Amycolatopsis saalfeldensis OX=394193 GN=SAMN04489732_10613 PE=3 SV=1,728,8ca.alpha.45,20.7,9.4e-08,728.0,349.0
tr|A0A1I4CHA3|A0A1I4CHA3_9PSEU,tr|A0A1I4CHA3|A0A1I4CHA3_9PSEU carbonic anhydrase OS=Amycolatopsis sacchari OX=115433 GN=SAMN05421835_1356 PE=3 SV=1,781,8ca.alpha.45,10.6,0.00012,781.0,349.0
tr|A0A1I9LQB3|A0A1I9LQB3_ARATH,tr|A0A1I9LQB3|A0A1I9LQB3_ARATH Carbonic anhydrase OS=Arabidopsis thaliana OX=3702 GN=CA1 PE=1 SV=1,259,8ca.alpha.45,16.1,2.4e-06,259.0,349.0
tr|A0A1L3IZL1|A0A1L3IZL1_9POXV,tr|A0A1L3IZL1|A0A1L3IZL1_9POXV Cell surface-binding protein OPG105 OS=BeAn 58058 virus OX=67082 GN=BAV00122 PE=3 SV=1,324,8ca.beta.45,61.2,5.6e-20,324.0,381.0
tr|A0A1L9NLG5|A0A1L9NLG5_ASPTC,tr|A0A1L9NLG5|A0A1L9NLG5_ASPTC Carbonic anhydrase OS=Aspergillus tubingensis (strain CBS 134.48) OX=767770 GN=ASPTUDRAFT_113893 PE=3 SV=1,243,8ca.alpha.45,13.3,1.7e-05,243.0,349.0
tr|A0A1L9S0B5|A0A1L9S0B5_ASPWE,tr|A0A1L9S0B5|A0A1L9S0B5_ASPWE Carbonic anhydrase OS=Aspergillus wentii DTO 134E9 OX=1073089 GN=ASPWEDRAFT_34041 PE=3 SV=1,262,8ca.alpha.45,25.0,4.9e-09,262.0,349.0
tr|A0A1L9UD93|A0A1L9UD93_ASPBC,tr|A0A1L9UD93|A0A1L9UD93_ASPBC Carbonic anhydrase OS=Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946) OX=767769 GN=ASPBRDRAFT_131418 PE=3 SV=1,275,8ca.alpha.45,22.2,3.5e-08,275.0,349.0
tr|A0A1M4EFV7|A0A1M4EFV7_9ACTN,tr|A0A1M4EFV7|A0A1M4EFV7_9ACTN carbonic anhydrase OS=Nonomuraea gerenzanensis OX=93944 GN=BN4615_P7397 PE=3 SV=1,736,8ca.alpha.45,10.9,9.5e-05,736.0,349.0
tr|A0A1M5AKF0|A0A1M5AKF0_STRHI,tr|A0A1M5AKF0|A0A1M5AKF0_STRHI carbonic anhydrase OS=Streptoalloteichus hindustanus OX=2017 GN=SAMN05444320_103158 PE=3 SV=1,782,8ca.alpha.45,21.5,5.5e-08,782.0,349.0
tr|A0A1Q4X6A5|A0A1Q4X6A5_9ACTN,tr|A0A1Q4X6A5|A0A1Q4X6A5_9ACTN carbonic anhydrase OS=Nocardiopsis sp. TSRI0078 OX=1718951 GN=A6A08_25040 PE=3 SV=1,789,8ca.alpha.45,17.6,8.2e-07,789.0,349.0
tr|A0A1Q5UMN2|A0A1Q5UMN2_9EURO,tr|A0A1Q5UMN2|A0A1Q5UMN2_9EURO Carbonic anhydrase OS=Penicillium subrubescens OX=1316194 GN=PENSUB_588 PE=3 SV=1,283,8ca.alpha.45,15.9,2.8e-06,283.0,349.0
tr|A0A1Q8JGJ4|A0A1Q8JGJ4_9PSEU,tr|A0A1Q8JGJ4|A0A1Q8JGJ4_9PSEU carbonic anhydrase OS=Pseudonocardia sp. Ae356_Ps1 OX=1885032 GN=Ae356Ps1_1231 PE=3 SV=1,793,8ca.alpha.45,4.6,0.0078,793.0,349.0
tr|A0A1Q8KMT8|A0A1Q8KMT8_9PSEU,tr|A0A1Q8KMT8|A0A1Q8KMT8_9PSEU carbonic anhydrase OS=Pseudonocardia sp. Ae707_Ps1 OX=1885572 GN=Ae707Ps1_2087 PE=3 SV=1,769,8ca.alpha.45,4.6,0.0076,769.0,349.0
tr|A0A1Q8KYQ3|A0A1Q8KYQ3_9PSEU,tr|A0A1Q8KYQ3|A0A1Q8KYQ3_9PSEU carbonic anhydrase OS=Pseudonocardia sp. Ae706_Ps2 OX=1885035 GN=Ae706Ps2_0131 PE=3 SV=1,772,8ca.alpha.45,8.9,0.00038,772.0,349.0
tr|A0A1Q8LPV7|A0A1Q8LPV7_9PSEU,tr|A0A1Q8LPV7|A0A1Q8LPV7_9PSEU carbonic anhydrase OS=Pseudonocardia sp. Ae717_Ps2 OX=1885573 GN=Ae717Ps2_1712 PE=3 SV=1,772,8ca.alpha.45,8.9,0.00038,772.0,349.0
tr|A0A1Q9RU71|A0A1Q9RU71_9PSEU,tr|A0A1Q9RU71|A0A1Q9RU71_9PSEU carbonic anhydrase OS=Pseudonocardia sp. CNS-004 OX=1904967 GN=BJF90_38915 PE=3 SV=1,735,8ca.alpha.45,5.1,0.0054,735.0,349.0
tr|A0A1R3FY78|A0A1R3FY78_COCAP,tr|A0A1R3FY78|A0A1R3FY78_COCAP carbonic anhydrase OS=Corchorus capsularis OX=210143 GN=CCACVL1_30291 PE=3 SV=1,684,8ca.alpha.45,16.3,2.2e-06,684.0,349.0
tr|A0A1R3HS03|A0A1R3HS03_COCAP,tr|A0A1R3HS03|A0A1R3HS03_COCAP peroxidase OS=Corchorus capsularis OX=210143 GN=CCACVL1_17474 PE=3 SV=1,503,NO_HIT,,,,
tr|A0A1R3USQ8|A0A1R3USQ8_9ACTN,tr|A0A1R3USQ8|A0A1R3USQ8_9ACTN carbonic anhydrase OS=Nocardiopsis sp. JB363 OX=1434837 GN=BQ8420_24195 PE=3 SV=1,780,8ca.alpha.45,20.2,1.4e-07,780.0,349.0
tr|A0A1S1QTV1|A0A1S1QTV1_9ACTN,tr|A0A1S1QTV1|A0A1S1QTV1_9ACTN carbonic anhydrase OS=Parafrankia colletiae OX=573497 GN=CC117_16825 PE=3 SV=1,855,8ca.alpha.45,7.6,0.00095,855.0,349.0
tr|A0A1S1QW63|A0A1S1QW63_9ACTN,tr|A0A1S1QW63|A0A1S1QW63_9ACTN carbonic anhydrase OS=Parafrankia soli OX=2599596 GN=BBK14_02585 PE=3 SV=1,862,NO_HIT,,,,
tr|A0A1S1VA25|A0A1S1VA25_9FIRM,tr|A0A1S1VA25|A0A1S1VA25_9FIRM Carbonic anhydrase OS=Andreesenia angusta OX=39480 GN=cynT PE=3 SV=1,249,8ca.alpha.45,37.5,7.5e-13,249.0,349.0
tr|A0A1S3AIG2|A0A1S3AIG2_ERIEU,tr|A0A1S3AIG2|A0A1S3AIG2_ERIEU Carbonic anhydrase OS=Erinaceus europaeus OX=9365 GN=CA2 PE=3 SV=1,260,8ca.beta.45,150.8,3.3999999999999997e-47,260.0,381.0
tr|A0A1S3GG11|A0A1S3GG11_DIPOR,tr|A0A1S3GG11|A0A1S3GG11_DIPOR Carbonic anhydrase 6 OS=Dipodomys ordii OX=10020 GN=Ca6 PE=3 SV=1,343,8ca.beta.45,114.7,3.1e-36,343.0,381.0
tr|A0A1S3NSP3|A0A1S3NSP3_SALSA,tr|A0A1S3NSP3|A0A1S3NSP3_SALSA Carbonic anhydrase OS=Salmo salar OX=8030 GN=LOC106581086 PE=3 SV=1,304,8ca.beta.45,98.2,3.1e-31,304.0,381.0
tr|A0A1S3RPE9|A0A1S3RPE9_SALSA,tr|A0A1S3RPE9|A0A1S3RPE9_SALSA Carbonic anhydrase OS=Salmo salar OX=8030 GN=LOC106603953 PE=3 SV=1,306,8ca.beta.45,123.6,6e-39,306.0,381.0
tr|A0A1S3SZM5|A0A1S3SZM5_SALSA,tr|A0A1S3SZM5|A0A1S3SZM5_SALSA Carbonic anhydrase OS=Salmo salar OX=8030 GN=LOC106612801 PE=3 SV=1,304,8ca.beta.45,107.9,3.7e-34,304.0,381.0
tr|A0A1S3W3M3|A0A1S3W3M3_ERIEU,tr|A0A1S3W3M3|A0A1S3W3M3_ERIEU Carbonic anhydrase OS=Erinaceus europaeus OX=9365 GN=CA4 PE=3 SV=1,312,8ca.beta.45,120.4,5.900000000000001e-38,312.0,381.0
tr|A0A1S9RX29|A0A1S9RX29_PENBI,tr|A0A1S9RX29|A0A1S9RX29_PENBI Carbonic anhydrase OS=Penicillium brasilianum OX=104259 GN=PEBR_04955 PE=3 SV=1,284,8ca.alpha.45,16.4,2e-06,284.0,349.0
tr|A0A1T3CH56|A0A1T3CH56_9HYPO,tr|A0A1T3CH56|A0A1T3CH56_9HYPO Carbonic anhydrase OS=Trichoderma guizhouense OX=1491466 GN=A0O28_0004710 PE=3 SV=1,293,8ca.alpha.45,18.6,4.3e-07,293.0,349.0
tr|A0A1U7Q3W6|A0A1U7Q3W6_MESAU,tr|A0A1U7Q3W6|A0A1U7Q3W6_MESAU Carbonic anhydrase OS=Mesocricetus auratus OX=10036 GN=Ca2 PE=3 SV=1,260,8ca.beta.45,154.2,3.1e-48,260.0,381.0
tr|A0A1U7QDT3|A0A1U7QDT3_MESAU,tr|A0A1U7QDT3|A0A1U7QDT3_MESAU Carbonic anhydrase OS=Mesocricetus auratus OX=10036 GN=Ca4 PE=3 SV=1,307,8ca.beta.45,103.5,8.1e-33,307.0,381.0
tr|A0A1U7QS69|A0A1U7QS69_MESAU,tr|A0A1U7QS69|A0A1U7QS69_MESAU Receptor-type tyrosine-protein phosphatase zeta OS=Mesocricetus auratus OX=10036 GN=Ptprz1 PE=3 SV=1,2312,8ca.beta.45,95.1,2.8e-30,2312.0,381.0
tr|A0A1U7R3S6|A0A1U7R3S6_MESAU,tr|A0A1U7R3S6|A0A1U7R3S6_MESAU Carbonic anhydrase OS=Mesocricetus auratus OX=10036 GN=Ca9 PE=3 SV=1,435,8ca.beta.45,103.6,7.2e-33,435.0,381.0
tr|A0A1U7RKV7|A0A1U7RKV7_ALLSI,tr|A0A1U7RKV7|A0A1U7RKV7_ALLSI Carbonic anhydrase OS=Alligator sinensis OX=38654 GN=CA4 PE=3 SV=1,317,8ca.beta.45,118.9,1.7e-37,317.0,381.0
tr|A0A1U7SZR9|A0A1U7SZR9_CARSF,tr|A0A1U7SZR9|A0A1U7SZR9_CARSF Carbonic anhydrase OS=Carlito syrichta OX=1868482 GN=CA4 PE=3 SV=1,317,8ca.beta.45,91.1,4.5e-29,317.0,381.0
tr|A0A1U7T2C9|A0A1U7T2C9_CARSF,tr|A0A1U7T2C9|A0A1U7T2C9_CARSF Carbonic anhydrase OS=Carlito syrichta OX=1868482 GN=CA4 PE=3 SV=1,309,8ca.beta.45,95.9,1.6e-30,309.0,381.0
tr|A0A1U7U3U8|A0A1U7U3U8_CARSF,tr|A0A1U7U3U8|A0A1U7U3U8_CARSF Carbonic anhydrase OS=Carlito syrichta OX=1868482 GN=CA1 PE=3 SV=1,261,8ca.beta.45,147.1,4.5e-46,261.0,381.0
tr|A0A1U7U5Z9|A0A1U7U5Z9_CARSF,tr|A0A1U7U5Z9|A0A1U7U5Z9_CARSF Carbonic anhydrase OS=Carlito syrichta OX=1868482 GN=CA9 PE=3 SV=1,452,8ca.beta.45,100.1,8.200000000000001e-32,452.0,381.0
tr|A0A1U8JAW6|A0A1U8JAW6_GOSHI,tr|A0A1U8JAW6|A0A1U8JAW6_GOSHI Carbonic anhydrase OS=Gossypium hirsutum OX=3635 GN=LOC107905325 PE=3 SV=1,289,8ca.beta.45,177.7,2.2999999999999998e-55,289.0,381.0
tr|A0A1U8JEN6|A0A1U8JEN6_GOSHI,tr|A0A1U8JEN6|A0A1U8JEN6_GOSHI Carbonic anhydrase OS=Gossypium hirsutum OX=3635 GN=LOC107906252 PE=3 SV=1,274,8ca.beta.45,160.6,3.6e-50,274.0,381.0
tr|A0A1V2IVE8|A0A1V2IVE8_9ACTN,tr|A0A1V2IVE8|A0A1V2IVE8_9ACTN carbonic anhydrase OS=Protofrankia sp. BMG5.30 OX=1834514 GN=BL254_06850 PE=3 SV=1,887,NO_HIT,,,,
tr|A0A1V2LUA9|A0A1V2LUA9_PICKU,tr|A0A1V2LUA9|A0A1V2LUA9_PICKU carbonic anhydrase OS=Pichia kudriavzevii OX=4909 GN=BOH78_0957 PE=3 SV=1,862,8ca.alpha.45,24.0,9.7e-09,862.0,349.0
tr|A0A1V2TDY1|A0A1V2TDY1_9NOCA,tr|A0A1V2TDY1|A0A1V2TDY1_9NOCA carbonic anhydrase OS=Nocardia donostiensis OX=1538463 GN=B0T46_15695 PE=3 SV=1,761,8ca.alpha.45,10.5,0.00012,761.0,349.0
tr|A0A1V3C1I2|A0A1V3C1I2_9ACTN,tr|A0A1V3C1I2|A0A1V3C1I2_9ACTN carbonic anhydrase OS=Nocardiopsis sinuspersici OX=501010 GN=HNR06_000216 PE=3 SV=1,787,8ca.alpha.45,22.3,3.2e-08,787.0,349.0
tr|A0A1V4K1Y3|A0A1V4K1Y3_PATFA,tr|A0A1V4K1Y3|A0A1V4K1Y3_PATFA Carbonic anhydrase 4 OS=Patagioenas fasciata monilis OX=372326 GN=CA4 PE=3 SV=1,316,8ca.beta.45,106.3,1.1e-33,316.0,381.0
tr|A0A1V6QEZ3|A0A1V6QEZ3_9EURO,tr|A0A1V6QEZ3|A0A1V6QEZ3_9EURO Carbonic anhydrase OS=Penicillium antarcticum OX=416450 GN=PENANT_c005G05856 PE=3 SV=1,291,8ca.alpha.45,19.0,3.1e-07,291.0,349.0
tr|A0A1V6S7Z6|A0A1V6S7Z6_9EURO,tr|A0A1V6S7Z6|A0A1V6S7Z6_9EURO Carbonic anhydrase OS=Penicillium vulpinum OX=29845 GN=PENVUL_c005G02610 PE=3 SV=1,296,8ca.alpha.45,19.0,3.2e-07,296.0,349.0
tr|A0A1V8SHE7|A0A1V8SHE7_9PEZI,tr|A0A1V8SHE7|A0A1V8SHE7_9PEZI Carbonic anhydrase OS=Cryoendolithus antarcticus OX=1507870 GN=B0A48_15727 PE=3 SV=1,250,8ca.alpha.45,20.9,8.6e-08,250.0,349.0
tr|A0A1V8SXQ0|A0A1V8SXQ0_9PEZI,tr|A0A1V8SXQ0|A0A1V8SXQ0_9PEZI Carbonic anhydrase OS=Cryoendolithus antarcticus OX=1507870 GN=B0A48_10578 PE=3 SV=1,262,8ca.alpha.45,20.7,9.8e-08,262.0,349.0
tr|A0A1V8U270|A0A1V8U270_9PEZI,tr|A0A1V8U270|A0A1V8U270_9PEZI Carbonic anhydrase OS=Rachicladosporium sp. CCFEE 5018 OX=1974281 GN=B0A51_15793 PE=3 SV=1,306,8ca.alpha.45,20.1,1.5e-07,306.0,349.0
tr|A0A1V9Y6P8|A0A1V9Y6P8_9STRA,tr|A0A1V9Y6P8|A0A1V9Y6P8_9STRA Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Thraustotheca clavata OX=74557 GN=THRCLA_11767 PE=3 SV=1,609,8ca.alpha.45,14.8,6.2e-06,609.0,349.0
tr|A0A1V9ZC55|A0A1V9ZC55_9STRA,tr|A0A1V9ZC55|A0A1V9ZC55_9STRA Coatomer subunit delta OS=Thraustotheca clavata OX=74557 GN=THRCLA_07743 PE=3 SV=1,838,8ca.alpha.45,10.4,0.00013,838.0,349.0
tr|A0A1V9ZTQ6|A0A1V9ZTQ6_ACHHY,tr|A0A1V9ZTQ6|A0A1V9ZTQ6_ACHHY Coatomer subunit delta OS=Achlya hypogyna OX=1202772 GN=ACHHYP_01781 PE=3 SV=1,791,8ca.alpha.45,13.5,1.5e-05,791.0,349.0
tr|A0A1W0X228|A0A1W0X228_HYPEX,tr|A0A1W0X228|A0A1W0X228_HYPEX Multifunctional fusion protein OS=Hypsibius exemplaris OX=2072580 GN=BV898_04428 PE=3 SV=1,572,8ca.beta.45,126.7,6.9999999999999995e-40,572.0,381.0
tr|A0A1W2TFY5|A0A1W2TFY5_ROSNE,tr|A0A1W2TFY5|A0A1W2TFY5_ROSNE Carbonic anhydrase OS=Rosellinia necatrix OX=77044 GN=SAMD00023353_2401470 PE=3 SV=1,334,8ca.alpha.45,16.0,2.6e-06,334.0,349.0
tr|A0A1X1MIQ6|A0A1X1MIQ6_9ACTN,tr|A0A1X1MIQ6|A0A1X1MIQ6_9ACTN carbonic anhydrase OS=Frankia sp. KB5 OX=683318 GN=KBI5_20580 PE=3 SV=1,872,NO_HIT,,,,
tr|A0A1Y2N088|A0A1Y2N088_PSEAH,tr|A0A1Y2N088|A0A1Y2N088_PSEAH carbonic anhydrase OS=Pseudonocardia autotrophica OX=2074 GN=dauA_1 PE=3 SV=1,774,8ca.alpha.45,8.4,0.00053,774.0,349.0
tr|A0A1Y6BYZ4|A0A1Y6BYZ4_9BACT,tr|A0A1Y6BYZ4|A0A1Y6BYZ4_9BACT Cholesterol oxidase OS=Pseudobacteriovorax antillogorgiicola OX=1513793 GN=SAMN06296036_11155 PE=3 SV=1,1146,NO_HIT,,,,
tr|A0A218UUW2|A0A218UUW2_9PASE,tr|A0A218UUW2|A0A218UUW2_9PASE Carbonic anhydrase OS=Lonchura striata OX=40157 GN=CA4 PE=3 SV=1,314,8ca.beta.45,103.1,9.999999999999999e-33,314.0,381.0
tr|A0A218WG89|A0A218WG89_PUNGR,tr|A0A218WG89|A0A218WG89_PUNGR L-aspartate oxidase OS=Punica granatum OX=22663 GN=CDL15_Pgr005730 PE=3 SV=1,849,NO_HIT,,,,
tr|A0A220T6E7|A0A220T6E7_9POXV,tr|A0A220T6E7|A0A220T6E7_9POXV Carbonic anhydrase 1 OS=Eptesipox virus OX=1329402 GN=EPTV-WA-090 PE=4 SV=1,290,8ca.beta.45,63.7,9.6e-21,290.0,381.0
tr|A0A221W725|A0A221W725_9PSEU,tr|A0A221W725|A0A221W725_9PSEU carbonic anhydrase OS=Actinoalloteichus hoggarensis OX=1470176 GN=icfA PE=3 SV=1,802,8ca.alpha.45,7.4,0.0011,802.0,349.0
tr|A0A223S8Q8|A0A223S8Q8_9ACTN,tr|A0A223S8Q8|A0A223S8Q8_9ACTN carbonic anhydrase OS=Nocardiopsis gilva YIM 90087 OX=1235441 GN=CDO52_18370 PE=3 SV=1,772,8ca.alpha.45,13.1,2e-05,772.0,349.0
tr|A0A231H3M9|A0A231H3M9_9NOCA,tr|A0A231H3M9|A0A231H3M9_9NOCA carbonic anhydrase OS=Nocardia cerradoensis OX=85688 GN=dauA_1 PE=3 SV=1,746,8ca.alpha.45,17.4,9.5e-07,746.0,349.0
tr|A0A238ZMB4|A0A238ZMB4_9BACT,tr|A0A238ZMB4|A0A238ZMB4_9BACT Carbonic anhydrase OS=Hymenobacter mucosus OX=1411120 GN=SAMN06269173_108142 PE=3 SV=1,238,8ca.alpha.45,23.9,1e-08,238.0,349.0
tr|A0A250YDW1|A0A250YDW1_CASCN,tr|A0A250YDW1|A0A250YDW1_CASCN Carbonic anhydrase OS=Castor canadensis OX=51338 GN=CAR2 PE=3 SV=1,260,8ca.beta.45,143.5,5.3000000000000003e-45,260.0,381.0
tr|A0A251NCR7|A0A251NCR7_PRUPE,tr|A0A251NCR7|A0A251NCR7_PRUPE Carbonic anhydrase OS=Prunus persica OX=3760 GN=PRUPE_7G126500 PE=3 SV=1,338,8ca.beta.45,150.1,5.6e-47,338.0,381.0
tr|A0A263CWK5|A0A263CWK5_9PSEU,tr|A0A263CWK5|A0A263CWK5_9PSEU carbonic anhydrase OS=Amycolatopsis antarctica OX=1854586 GN=CFN78_25440 PE=3 SV=1,780,8ca.alpha.45,20.5,1.1e-07,780.0,349.0
tr|A0A286XCJ8|A0A286XCJ8_CAVPO,tr|A0A286XCJ8|A0A286XCJ8_CAVPO Receptor-type tyrosine-protein phosphatase zeta OS=Cavia porcellus OX=10141 GN=PTPRZ1 PE=3 SV=1,1433,8ca.beta.45,89.8,1.1000000000000002e-28,1433.0,381.0
tr|A0A286XED8|A0A286XED8_CAVPO,tr|A0A286XED8|A0A286XED8_CAVPO Transferrin-like domain-containing protein OS=Cavia porcellus OX=10141 GN=Tf PE=3 SV=1,700,NO_HIT,,,,
tr|A0A287B6M0|A0A287B6M0_PIG,tr|A0A287B6M0|A0A287B6M0_PIG Carbonic anhydrase OS=Sus scrofa OX=9823 GN=CA2 PE=1 SV=2,305,8ca.beta.45,133.4,6.6e-42,305.0,381.0
tr|A0A287BQK7|A0A287BQK7_PIG,tr|A0A287BQK7|A0A287BQK7_PIG Receptor-type tyrosine-protein phosphatase zeta OS=Sus scrofa OX=9823 GN=PTPRZ1 PE=1 SV=3,2305,8ca.beta.45,92.5,1.7e-29,2305.0,381.0
tr|A0A2A9PLP7|A0A2A9PLP7_OPHUN,tr|A0A2A9PLP7|A0A2A9PLP7_OPHUN Carbonic anhydrase OS=Ophiocordyceps unilateralis OX=268505 GN=XA68_16146 PE=3 SV=1,311,8ca.alpha.45,21.6,5.3e-08,311.0,349.0
tr|A0A2B7Y9Z4|A0A2B7Y9Z4_9EURO,tr|A0A2B7Y9Z4|A0A2B7Y9Z4_9EURO Carbonic anhydrase OS=Helicocarpus griseus UAMH5409 OX=1447875 GN=AJ79_00780 PE=3 SV=1,281,8ca.alpha.45,19.0,3.1e-07,281.0,349.0
tr|A0A2C5YMQ5|A0A2C5YMQ5_9HYPO,tr|A0A2C5YMQ5|A0A2C5YMQ5_9HYPO Carbonic anhydrase OS=Cordyceps sp. RAO-2017 OX=2004951 GN=CDD83_7036 PE=3 SV=1,278,8ca.alpha.45,20.2,1.4e-07,278.0,349.0
tr|A0A2C9K8T0|A0A2C9K8T0_BIOGL,tr|A0A2C9K8T0|A0A2C9K8T0_BIOGL Carbonic anhydrase OS=Biomphalaria glabrata OX=6526 GN=106050470 PE=3 SV=1,1132,8ca.beta.45,319.8,1.5e-98,1132.0,381.0
tr|A0A2D0Q8V6|A0A2D0Q8V6_ICTPU,tr|A0A2D0Q8V6|A0A2D0Q8V6_ICTPU Carbonic anhydrase OS=Ictalurus punctatus OX=7998 GN=ca4a PE=3 SV=1,306,8ca.beta.45,115.6,1.7e-36,306.0,381.0
tr|A0A2D0Q9J2|A0A2D0Q9J2_ICTPU,tr|A0A2D0Q9J2|A0A2D0Q9J2_ICTPU Carbonic anhydrase OS=Ictalurus punctatus OX=7998 GN=LOC108259756 PE=3 SV=1,309,8ca.beta.45,91.8,2.9e-29,309.0,381.0
tr|A0A2D0SJX8|A0A2D0SJX8_ICTPU,tr|A0A2D0SJX8|A0A2D0SJX8_ICTPU Carbonic anhydrase 6 OS=Ictalurus punctatus OX=7998 GN=ca6 PE=3 SV=2,547,8ca.beta.45,100.4,7e-32,547.0,381.0
tr|A0A2D0SX59|A0A2D0SX59_ICTPU,tr|A0A2D0SX59|A0A2D0SX59_ICTPU Carbonic anhydrase OS=Ictalurus punctatus OX=7998 GN=ca4b PE=3 SV=1,302,8ca.beta.45,116.4,9.7e-37,302.0,381.0
tr|A0A2H1A7R2|A0A2H1A7R2_CANAR,tr|A0A2H1A7R2|A0A2H1A7R2_CANAR Carbonic anhydrase OS=Candidozyma auris OX=498019 GN=B9J08_000363 PE=3 SV=1,269,8ca.alpha.45,12.4,3.3e-05,269.0,349.0
tr|A0A2H2YYH6|A0A2H2YYH6_TRIPA,tr|A0A2H2YYH6|A0A2H2YYH6_TRIPA Carbonic anhydrase OS=Trichoderma parareesei OX=858221 GN=A9Z42_0017560 PE=3 SV=1,305,8ca.alpha.45,17.1,1.2e-06,305.0,349.0
tr|A0A2I0LYN1|A0A2I0LYN1_COLLI,tr|A0A2I0LYN1|A0A2I0LYN1_COLLI Carbonic anhydrase 4 OS=Columba livia OX=8932 GN=CA4 PE=3 SV=1,316,8ca.beta.45,101.5,3.3e-32,316.0,381.0
tr|A0A2I0W082|A0A2I0W082_9ASPA,tr|A0A2I0W082|A0A2I0W082_9ASPA Carbonic anhydrase OS=Dendrobium catenatum OX=906689 GN=MA16_Dca002342 PE=3 SV=1,300,8ca.alpha.45,13.6,1.4e-05,300.0,349.0
tr|A0A2I2KXK6|A0A2I2KXK6_9ACTN,tr|A0A2I2KXK6|A0A2I2KXK6_9ACTN carbonic anhydrase OS=Frankia canadensis OX=1836972 GN=FRACA_450024 PE=3 SV=1,991,NO_HIT,,,,
tr|A0A2I2UBT1|A0A2I2UBT1_FELCA,tr|A0A2I2UBT1|A0A2I2UBT1_FELCA Carbonic anhydrase 1 OS=Felis catus OX=9685 GN=CA1 PE=3 SV=1,127,8ca.beta.45,51.1,6.6e-17,127.0,381.0
